1025794;707-320;0;3 144 998 431 695 1024
0481847;707-320;2;73 220 1198 508 802 1200
1514522;707-320;1;7 217 1196 551 882 1200
1340192;707-320;0;83 155 964 462 699 1024
0810608;707-320;2;19 146 986 443 745 1024
0747566;707-320;1;48 69 998 348 594 1024
0056978;707-320;0;1 129 891 436 687 913
1514481;707-320;2;11 206 1194 522 833 1200
1008575;707-320;1;6 133 1022 469 695 1024
0698580;707-320;0;8 164 996 435 678 1000
0887066;707-320;2;1 47 1007 531 695 1024
0717480;707-320;1;17 90 1197 555 765 1200
0450014;707-320;0;29 396 1268 634 911 1280
1318819;707-320;2;8 199 1196 525 822 1200
0991569;707-320;1;99 153 981 452 701 1024
1042824;707-320;0;54 167 930 427 702 1024
0624128;707-320;2;16 36 1021 545 695 1024
1446335;707-320;1;9 188 1191 518 812 1200
0894380;707-320;0;1 179 984 428 679 1000
0602177;707-320;2;25 161 1178 634 757 1200
1345732;707-320;1;11 148 986 476 710 1024
1427680;707-320;0;44 165 1009 442 718 1024
1148180;707-320;2;100 238 995 456 695 1024
0064932;707-320;1;12 76 786 312 504 800
0817494;707-320;0;3 60 1003 606 682 1005
1346004;707-320;2;32 176 986 438 709 1024
1453508;707-320;1;14 250 1592 706 1079 1600
0716386;707-320;0;5 136 995 422 678 1000
1288661;707-320;2;1 185 1191 510 826 1200
0536515;707-320;1;111 134 1193 481 774 1200
0951982;707-320;0;48 197 979 452 695 1024
0760910;707-320;2;380 225 1020 410 712 1024
0809560;707-320;1;4 191 1015 456 695 1024
0731614;707-320;0;35 201 1152 513 807 1200
0113201;707-320;2;10 101 897 415 553 900
0812092;707-320;1;7 151 997 441 678 1000
0582363;707-320;0;0 144 993 426 678 1000
0923884;707-320;2;12 181 997 434 679 1000
0979377;707-320;1;2 178 1012 444 714 1024
1082409;707-320;0;3 43 1021 582 704 1024
0987261;707-320;2;109 176 921 407 695 1024
0062765;707-320;1;22 133 779 340 483 800
2031775;707-320;0;14 110 1178 541 822 1200
0536511;707-320;2;128 198 1132 494 800 1200
1191359;707-320;1;42 191 969 445 706 1024
0950991;707-320;0;143 272 915 516 700 1024
0732667;707-320;2;33 152 1147 493 783 1200
0894381;707-320;1;4 162 994 421 678 1000
0869722;707-320;0;7 166 986 447 678 1000
0901498;707-320;2;8 182 985 432 679 1000
0574359;707-320;1;7 225 991 479 679 1000
0979376;707-320;0;11 145 1022 491 702 1024
0631897;707-320;2;91 195 913 433 695 1024
0447936;707-320;1;6 173 997 442 679 1000
1002439;707-320;0;117 187 1006 437 697 1024
1193587;707-320;2;64 209 923 460 726 1024
0658110;707-320;1;17 167 993 445 678 1000
0864665;707-320;0;0 246 676 461 695 1024
0198101;707-320;2;1 83 1001 530 662 1024
0725155;707-320;1;10 190 1182 527 852 1200
1207591;707-320;0;9 188 1195 510 824 1200
1017179;707-320;2;15 169 1012 453 692 1024
